,mem_usage,step,replay_usage
0,100,5450182656,0
1,200,5452877824,0
2,300,5446107136,0
3,400,5449469952,0
4,500,5454065664,0
5,600,5458132992,0
6,700,5461381120,0
7,800,5458059264,0
8,900,5465120768,0
9,1000,5470695424,0
10,1100,5543575552,0
11,1200,5550129152,0
12,1300,5552226304,0
13,1400,5554061312,0
14,1500,5554290688,0
15,1600,5555720192,0
16,1700,5556244480,0
17,1800,5557735424,0
18,1900,5559418880,0
19,2000,5559877632,0
20,2100,5561139200,0
21,2200,5561651200,0
22,2300,5562179584,0
23,2400,5563592704,0
24,2500,5563400192,0
25,2600,5564297216,0
26,2700,5565042688,0
27,2800,5565579264,0
28,2900,5565984768,0
29,3000,5565984768,0
30,3100,5566246912,0
31,3200,5566513152,0
32,3300,5567225856,0
33,3400,5567766528,0
34,3500,5568036864,0
35,3600,5568036864,0
36,3700,5568036864,0
37,3800,5568299008,0
38,3900,5568299008,0
39,4000,5568299008,0
40,4100,5568835584,0
41,4200,5568954368,0
42,4300,5569490944,0
43,4400,5569761280,0
44,4500,5570199552,0
45,4600,5570592768,0
46,4700,5570854912,0
47,4800,5571198976,0
48,4900,5571198976,0
49,5000,5662474240,0
