,mem_usage,step
0,100,5539188736
1,200,5724897280
2,300,5939380224
3,400,6120411136
4,500,6340427776
5,600,6551633920
6,700,6725341184
7,800,6922948608
8,900,7110488064
9,1000,7320313856
10,1100,7516540928
11,1200,7701426176
12,1300,7892500480
13,1400,8122220544
14,1500,8298766336
15,1600,8518062080
16,1700,8722214912
17,1800,8939376640
18,1900,9092157440
19,2000,9317556224
20,2100,9490890752
21,2200,9698062336
22,2300,9902071808
23,2400,10094788608
24,2500,10296082432
25,2600,10529464320
26,2700,10717081600
27,2800,10952740864
28,2900,11183898624
29,3000,11434627072
30,3100,11629371392
31,3200,11809640448
32,3300,12010033152
33,3400,12242649088
34,3500,12446613504
35,3600,12694392832
36,3700,12862554112
37,3800,13040771072
38,3900,13294174208
39,4000,13476831232
40,4100,13743517696
41,4200,13994647552
42,4300,14207442944
43,4400,14406111232
44,4500,14604419072
45,4600,14780997632
46,4700,14952394752
47,4800,15193227264
48,4900,15400284160
49,5000,15607451648
