100,100,100,100,100,100,100,100,100,100,99,99,97,97,97,97,97,97,96,95,95,95,95,95,94,93,92,91,89,89,87,87,87,87,87,87,85,84,81,80,80,80,78,78,78,77,77,77,76,75,75,75,75,75,74,74,74,74,74,70,69,69,69,69,69,69,69,69,69,69,69,69,69,68,68,68,68,68,66,66,66,66,66,66,66,66,66,65,64,64,64,64,64,64,64,64,63,63,63,0
100,100,100,100,100,100,99,99,99,99,99,97,97,97,97,97,97,97,96,96,96,96,94,94,94,92,92,92,92,91,89,89,89,89,89,89,89,89,86,84,84,84,83,83,83,83,83,83,83,81,81,80,80,80,79,79,78,78,78,78,77,76,76,76,76,76,76,74,74,74,74,74,74,74,74,74,73,73,73,73,73,73,73,69,69,69,69,69,69,69,68,68,68,68,68,68,68,68,68,0
100,98,98,98,98,98,98,98,98,98,98,97,96,94,94,92,92,90,90,90,88,88,86,86,86,86,83,83,83,82,82,82,82,82,82,77,77,77,77,77,77,76,75,75,75,75,75,73,73,73,72,70,70,70,70,70,70,70,70,70,67,67,67,67,67,67,67,67,67,67,67,66,66,66,66,66,65,65,65,65,65,65,65,63,63,63,63,63,63,63,63,63,63,63,63,63,63,61,61,0
100,96,96,96,96,94,94,94,94,92,92,92,92,91,90,90,90,90,90,90,90,89,88,88,86,86,86,84,84,84,84,83,83,83,81,81,81,81,79,79,79,79,79,79,79,78,78,78,77,74,73,73,73,73,73,71,71,70,70,70,70,70,70,70,68,67,67,67,67,67,67,67,65,64,64,64,64,63,63,63,63,63,63,63,63,63,63,62,62,62,62,62,62,61,61,61,61,61,61,0
100,98,98,98,94,94,94,94,94,94,94,93,93,93,91,91,90,90,90,90,90,90,90,90,89,87,87,87,87,87,87,87,85,85,85,85,85,84,84,84,82,82,81,80,80,79,77,77,75,75,75,75,75,75,74,74,73,71,71,71,71,69,69,68,68,68,68,68,67,67,67,67,67,67,67,66,65,65,65,65,65,65,65,65,65,65,64,64,64,64,64,64,64,64,64,64,62,62,62,0
100,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,95,95,95,93,93,93,93,93,90,90,90,90,89,89,88,87,87,87,86,85,84,84,84,84,84,84,81,81,80,78,77,77,77,77,75,72,70,70,70,69,69,69,69,69,69,69,69,68,68,68,68,68,68,68,68,68,68,68,68,68,67,67,67,67,67,67,67,66,66,66,65,65,65,65,64,64,63,63,63,63,0
100,98,96,96,96,96,96,96,96,96,96,96,96,94,94,94,94,94,94,94,93,93,91,91,89,89,89,89,89,89,89,87,87,86,86,86,85,85,85,85,83,83,83,83,83,82,81,81,81,79,79,79,76,75,75,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,71,71,71,71,71,71,71,71,71,70,70,68,68,68,68,68,68,68,68,68,68,67,67,67,0
100,98,98,98,98,98,98,96,96,96,95,94,92,92,92,92,91,91,89,89,85,85,84,84,84,84,84,84,84,84,84,81,81,81,81,80,78,78,78,76,75,75,74,74,74,74,74,74,74,74,74,74,74,73,72,72,72,71,71,71,71,70,70,69,69,69,68,68,68,68,68,68,68,68,68,68,68,66,66,66,64,64,64,64,64,64,64,64,64,64,63,63,62,62,62,62,62,62,62,0
100,98,96,96,94,94,94,94,94,94,94,91,91,91,91,91,91,91,91,91,91,88,87,87,87,87,86,86,86,86,86,86,86,84,84,84,83,82,81,80,80,80,80,80,79,79,79,79,79,77,77,77,77,76,75,75,73,73,73,73,73,73,73,73,71,71,71,71,71,71,71,71,71,71,70,70,70,69,69,69,69,69,68,68,68,68,67,67,67,66,65,65,65,63,63,63,63,63,63,0
100,100,100,100,100,100,98,98,96,96,96,96,95,93,91,91,91,91,89,87,85,85,85,84,84,84,84,84,83,83,83,83,83,82,82,81,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,78,78,78,78,78,75,74,74,74,73,73,73,73,73,73,73,70,70,70,70,70,70,69,69,69,69,69,69,68,68,68,68,68,68,68,67,66,66,65,65,65,65,64,64,64,64,64,64,0
