,mem_usage,step
0,100,5378867200
1,200,5419253760
2,300,5459374080
3,400,5493981184
4,500,5524119552
5,600,5553741824
6,700,5580742656
7,800,5606432768
8,900,5632135168
9,1000,5657300992
10,1100,5682716672
11,1200,5708406784
12,1300,5734371328
13,1400,5760049152
14,1500,5785477120
15,1600,5810917376
16,1700,5836595200
17,1800,5862559744
18,1900,5888237568
19,2000,5913665536
20,2100,5957365760
21,2200,5987479552
22,2300,6017392640
23,2400,6047506432
24,2500,6077378560
25,2600,6107254784
26,2700,6131367936
27,2800,6155218944
28,2900,6178807808
29,3000,6201610240
30,3100,6225465344
31,3200,6249566208
32,3300,6273937408
33,3400,6298574848
34,3500,6322704384
35,3600,6346801152
36,3700,6370918400
37,3800,6394777600
38,3900,6418890752
39,4000,6443028480
40,4100,6467125248
41,4200,6491242496
42,4300,6515363840
43,4400,6539489280
44,4500,6563590144
45,4600,6587969536
46,4700,6612369408
47,4800,6636732416
48,4900,6649565184
49,5000,6674915328
50,5100,6715723776
51,5200,6755581952
52,5300,6788063232
53,5400,6820560896
54,5500,6853341184
55,5600,6884003840
56,5700,6906798080
57,5800,6927503360
58,5900,6944808960
59,6000,6960242688
60,6100,6971662336
61,6200,6983155712
62,6300,6994161664
63,6400,7005429760
64,6500,7016439808
65,6600,7024566272
66,6700,7029809152
67,6800,7035314176
68,6900,7040557056
69,7000,7046590464
70,7100,7075692544
71,7200,7117897728
72,7300,7144124416
73,7400,7169794048
74,7500,7198363648
75,7600,7226773504
76,7700,7251931136
77,7800,7270273024
78,7900,7288356864
79,8000,7306440704
80,8100,7324790784
81,8200,7343169536
82,8300,7364784128
83,8400,7382904832
84,8500,7400534016
85,8600,7418155008
86,8700,7436312576
87,8800,7454466048
88,8900,7472881664
89,9000,7491301376
90,9100,7509983232
91,9200,7523684352
92,9300,7536033792
93,9400,7548207104
94,9500,7560314880
95,9600,7572664320
96,9700,7584505856
97,9800,7596605440
98,9900,7608770560
99,10000,7621083136
