Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
│           364/1000 │               0.27 │                 77 │               2.71 │        000: 1.2843 │
│           365/1000 │               0.28 │                 78 │               2.76 │        000: 1.3026 │
│           366/1000 │               0.26 │                 32 │               2.64 │       000: -0.0787 │
│           367/1000 │               0.26 │                 51 │               2.63 │       000: -0.0018 │
│           368/1000 │               0.27 │                 66 │               2.75 │        000: 0.8786 │
│           369/1000 │               0.27 │                102 │               2.75 │        000: 2.0044 │
│           370/1000 │               0.28 │                 41 │               2.79 │       000: -4.3924 │
│           371/1000 │               0.27 │                103 │               2.70 │        000: 2.0576 │
│           372/1000 │               0.28 │                 52 │               2.79 │        000: 0.5465 │
│           373/1000 │               0.27 │                 51 │               2.69 │       000: -7.3165 │
│           374/1000 │               0.28 │                 46 │               2.76 │        000: 0.2347 │
│           375/1000 │               0.27 │                 77 │               2.72 │        000: 1.2712 │
│           376/1000 │               0.28 │                 94 │               2.76 │        000: 1.7046 │
│           377/1000 │               0.27 │                192 │               2.74 │       000: -5.2525 │
│           378/1000 │               0.27 │                197 │               2.75 │        000: 4.7244 │
│           379/1000 │               0.27 │                 37 │               2.69 │        000: 0.0595 │
│           380/1000 │               0.28 │                 62 │               2.77 │        000: 0.5907 │
│           381/1000 │               0.27 │                 72 │               2.68 │       000: -0.0412 │
│           382/1000 │               0.27 │                103 │               2.70 │        000: 2.0768 │
│           383/1000 │               0.28 │                 48 │               2.84 │        000: 0.3388 │
│           384/1000 │               0.27 │                 64 │               2.72 │       000: -0.1413 │
│           385/1000 │               0.27 │                 26 │               2.74 │       000: -0.2606 │
│           386/1000 │               0.26 │                 36 │               2.64 │        000: 0.0303 │
│           387/1000 │               0.27 │                 81 │               2.71 │        000: 1.0445 │
│           388/1000 │               0.28 │                158 │               2.75 │        000: 2.9605 │
│           389/1000 │               0.27 │                 60 │               2.74 │       000: -1.8388 │
│           390/1000 │               0.27 │                 96 │               2.71 │        000: 1.8789 │
│           391/1000 │               0.28 │                135 │               2.77 │        000: 2.1396 │
│           392/1000 │               0.26 │                 27 │               2.57 │       000: -0.2823 │
│           393/1000 │               0.28 │                 27 │               2.84 │       000: -0.2463 │
│           394/1000 │               0.27 │                117 │               2.73 │        000: 2.4470 │
│           395/1000 │               0.27 │                 33 │               2.71 │       000: -0.0767 │
│           396/1000 │               0.27 │                122 │               2.70 │        000: 2.5964 │
│           397/1000 │               0.28 │                163 │               2.76 │        000: 3.8812 │
│           398/1000 │               0.27 │                 84 │               2.70 │        000: 1.4748 │
│           399/1000 │               0.27 │                 62 │               2.74 │        000: 0.8528 │
│           400/1000 │               0.26 │                 35 │               2.62 │       000: -0.2636 │
│           401/1000 │               0.27 │                 49 │               2.73 │        000: 0.3436 │
│           402/1000 │               0.28 │                 74 │               2.76 │        000: 1.1088 │
│           403/1000 │               0.27 │                 70 │               2.74 │        000: 1.0687 │
│           404/1000 │               0.28 │                 98 │               2.76 │        000: 1.6422 │
│           405/1000 │               0.27 │                176 │               2.72 │        000: 4.2134 │
│           406/1000 │               0.27 │                 40 │               2.70 │       000: -0.9250 │
│           407/1000 │               0.28 │                 55 │               2.76 │        000: 0.1695 │
│           408/1000 │               0.27 │                 98 │               2.68 │        000: 1.8682 │
│           409/1000 │               0.29 │                 32 │               2.89 │       000: -0.1052 │
│           410/1000 │               0.27 │                 24 │               2.66 │       000: -1.3236 │
│           411/1000 │               0.27 │                161 │               2.74 │        000: 3.8098 │
│           412/1000 │               0.26 │                 31 │               2.62 │       000: -0.9366 │
│           413/1000 │               0.28 │                 67 │               2.78 │        000: 0.9915 │
│           414/1000 │               0.27 │                 34 │               2.73 │       000: -0.0208 │
│           415/1000 │               0.25 │                 27 │               2.54 │       000: -0.2276 │
│           416/1000 │               0.28 │                 82 │               2.77 │        000: 0.1778 │
│           417/1000 │               0.28 │                 42 │               2.77 │       000: -0.0347 │
│           418/1000 │               0.27 │                 68 │               2.70 │        000: 0.9787 │
│           419/1000 │               0.28 │                186 │               2.76 │        000: 2.1566 │
│           420/1000 │               0.26 │                 42 │               2.59 │        000: 0.2204 │
│           421/1000 │               0.28 │                 34 │               2.80 │       000: -2.7363 │
│           422/1000 │               0.28 │                 50 │               2.76 │        000: 0.4559 │
│           423/1000 │               0.27 │                177 │               2.74 │        000: 2.9744 │
│           424/1000 │               0.26 │                 13 │               2.62 │       000: -0.6361 │
│           425/1000 │               0.27 │                101 │               2.70 │        000: 1.7208 │
│           426/1000 │               0.27 │                 54 │               2.72 │        000: 0.5770 │
│           427/1000 │               0.26 │                 58 │               2.64 │       000: -0.7218 │
│           428/1000 │               0.28 │                 63 │               2.76 │        000: 0.8807 │
│           429/1000 │               0.27 │                199 │               2.72 │        000: 4.9683 │
│           430/1000 │               0.28 │                 45 │               2.76 │       000: -1.9446 │
│           431/1000 │               0.28 │                 56 │               2.80 │        000: 0.6476 │
│           432/1000 │               0.27 │                 57 │               2.71 │        000: 0.2129 │
│           433/1000 │               0.27 │                 73 │               2.71 │        000: 0.6112 │
│           434/1000 │               0.27 │                127 │               2.70 │        000: 2.7780 │
│           435/1000 │               0.28 │                 59 │               2.76 │        000: 0.7349 │
│           436/1000 │               0.27 │                194 │               2.71 │        000: 3.8096 │
│           437/1000 │               0.27 │                146 │               2.74 │        000: 3.3292 │
│           438/1000 │               0.27 │                 40 │               2.69 │       000: -4.0974 │
│           439/1000 │               0.28 │                 40 │               2.83 │        000: 0.1755 │
│           440/1000 │               0.27 │                200 │               2.73 │        000: 4.9755 │
│           441/1000 │               0.27 │                177 │               2.73 │        000: 3.9459 │
│           442/1000 │               0.27 │                 69 │               2.71 │        000: 1.0267 │
│           443/1000 │               0.27 │                103 │               2.69 │        000: 1.1316 │
│           444/1000 │               0.27 │                 34 │               2.70 │       000: -0.0258 │
│           445/1000 │               0.28 │                 91 │               2.76 │        000: 1.5576 │
│           446/1000 │               0.27 │                 33 │               2.73 │       000: -2.5644 │
│           447/1000 │               0.27 │                 53 │               2.71 │        000: 0.2565 │
│           448/1000 │               0.27 │                 53 │               2.72 │        000: 0.1416 │
│           449/1000 │               0.27 │                139 │               2.70 │        000: 2.6996 │
│           450/1000 │               0.28 │                 55 │               2.75 │        000: 0.0712 │
│           451/1000 │               0.27 │                 77 │               2.71 │        000: 1.2505 │
│           452/1000 │               0.27 │                100 │               2.70 │        000: 1.9793 │
│           453/1000 │               0.27 │                107 │               2.69 │        000: 2.1487 │
│           454/1000 │               0.27 │                197 │               2.72 │        000: 4.8445 │
│           455/1000 │               0.27 │                143 │               2.74 │        000: 3.2787 │
│           456/1000 │               0.27 │                 84 │               2.67 │        000: 1.4824 │
│           457/1000 │               0.27 │                 60 │               2.68 │        000: 0.5715 │
│           458/1000 │               0.27 │                 65 │               2.69 │        000: 0.9043 │
│           459/1000 │               0.28 │                 31 │               2.82 │       000: -1.4240 │
│           460/1000 │               0.27 │                125 │               2.72 │        000: 2.7189 │
│           461/1000 │               0.27 │                 64 │               2.68 │       000: -0.6521 │
│           462/1000 │               0.27 │                126 │               2.74 │        000: 2.6120 │
│           463/1000 │               0.27 │                162 │               2.73 │        000: 3.5043 │
│           464/1000 │               0.26 │                 78 │               2.64 │        000: 1.3537 │
│           465/1000 │               0.28 │                 35 │               2.78 │        000: 0.0131 │
│           466/1000 │               0.27 │                 91 │               2.68 │        000: 1.6298 │
│           467/1000 │               0.27 │                 42 │               2.70 │        000: 0.2200 │
│           468/1000 │               0.27 │                100 │               2.68 │        000: 1.9908 │
│           469/1000 │               0.27 │                 34 │               2.70 │       000: -0.0324 │
│           470/1000 │               0.28 │                 43 │               2.83 │       000: -2.2015 │
│           471/1000 │               0.27 │                 41 │               2.66 │        000: 0.1850 │
│           472/1000 │               0.27 │                 76 │               2.69 │        000: 0.3330 │
│           473/1000 │               0.27 │                 30 │               2.69 │       000: -0.4415 │
│           474/1000 │               0.27 │                176 │               2.71 │        000: 4.2351 │
│           475/1000 │               0.26 │                 37 │               2.64 │       000: -0.2093 │
│           476/1000 │               0.27 │                 98 │               2.73 │        000: 1.3893 │
│           477/1000 │               0.27 │                 69 │               2.70 │        000: 1.0461 │
│           478/1000 │               0.27 │                 73 │               2.71 │        000: 1.1664 │
│           479/1000 │               0.27 │                 79 │               2.66 │        000: 1.3358 │
│           480/1000 │               0.27 │                 17 │               2.65 │       000: -0.8661 │
│           481/1000 │               0.28 │                 67 │               2.80 │      000: -14.0602 │
│           482/1000 │               0.27 │                170 │               2.70 │        000: 3.9746 │
│           483/1000 │               0.28 │                 35 │               2.81 │       000: -2.9250 │
│           484/1000 │               0.27 │                217 │               2.73 │        000: 5.0277 │
│           485/1000 │               0.27 │                 88 │               2.68 │        000: 1.6203 │
│           486/1000 │               0.26 │                 44 │               2.63 │        000: 0.2659 │
│           487/1000 │               0.27 │                110 │               2.74 │        000: 1.2456 │
│           488/1000 │               0.27 │                204 │               2.72 │        000: 3.3413 │
│           489/1000 │               0.27 │                 46 │               2.73 │        000: 0.3374 │
│           490/1000 │               0.28 │                103 │               2.75 │        000: 2.0172 │
│           491/1000 │               0.26 │                 47 │               2.64 │       000: -0.2026 │
│           492/1000 │               0.27 │                 75 │               2.74 │        000: 0.7638 │
│           493/1000 │               0.26 │                 66 │               2.62 │        000: 0.9439 │
│           494/1000 │               0.28 │                100 │               2.77 │        000: 1.8178 │
│           495/1000 │               0.27 │                161 │               2.72 │        000: 2.9072 │
│           496/1000 │               0.27 │                131 │               2.69 │        000: 2.8966 │
│           497/1000 │               0.27 │                239 │               2.74 │        000: 5.8756 │
│           498/1000 │               0.26 │                 74 │               2.64 │        000: 0.4340 │
│           499/1000 │               0.27 │                 59 │               2.75 │        000: 0.7077 │
│           500/1000 │               0.27 │                 64 │               2.68 │       000: -0.5176 │
│           501/1000 │               0.27 │                 54 │               2.70 │        000: 0.2459 │
│           502/1000 │               0.26 │                 47 │               2.64 │       000: -0.5493 │
│           503/1000 │               0.28 │                132 │               2.76 │        000: 2.8393 │
│           504/1000 │               0.26 │                 66 │               2.62 │        000: 0.4613 │
│           505/1000 │               0.28 │                 51 │               2.80 │       000: -7.3605 │
│           506/1000 │               0.27 │                 73 │               2.72 │        000: 0.6002 │
│           507/1000 │               0.26 │                 47 │               2.59 │        000: 0.3967 │
│           508/1000 │               0.29 │                 24 │               2.92 │       000: -1.3275 │
│           509/1000 │               0.27 │                 49 │               2.69 │        000: 0.4133 │
│           510/1000 │               0.26 │                 74 │               2.62 │        000: 0.8912 │
│           511/1000 │               0.27 │                 37 │               2.66 │        000: 0.0738 │
│           512/1000 │               0.27 │                110 │               2.73 │        000: 1.5249 │
│           513/1000 │               0.27 │                 41 │               2.71 │       000: -4.3258 │
│           514/1000 │               0.27 │                139 │               2.74 │        000: 2.8511 │
│           515/1000 │               0.27 │                 65 │               2.70 │        000: 0.8342 │
│           516/1000 │               0.27 │                129 │               2.72 │        000: 2.8551 │
│           517/1000 │               0.27 │                225 │               2.73 │        000: 5.4772 │
│           518/1000 │               0.27 │                 69 │               2.70 │        000: 1.0108 │
│           519/1000 │               0.26 │                 54 │               2.61 │        000: 0.5021 │
│           520/1000 │               0.27 │                194 │               2.72 │        000: 4.8227 │
│           521/1000 │               0.27 │                 62 │               2.75 │        000: 0.1875 │
│           522/1000 │               0.27 │                 57 │               2.73 │       000: -0.4956 │
│           523/1000 │               0.27 │                 73 │               2.67 │        000: 1.1562 │
│           524/1000 │               0.28 │                 38 │               2.75 │       000: -0.7530 │
│           525/1000 │               0.27 │                 56 │               2.66 │        000: 0.2879 │
│           526/1000 │               0.27 │                 42 │               2.72 │        000: 0.1991 │
│           527/1000 │               0.27 │                170 │               2.70 │        000: 3.9547 │
│           528/1000 │               0.27 │                133 │               2.72 │        000: 2.9372 │
│           529/1000 │               0.27 │                215 │               2.75 │        000: 5.4245 │
│           530/1000 │               0.27 │                 45 │               2.70 │        000: 0.0763 │
│           531/1000 │               0.27 │                 86 │               2.72 │        000: 1.4796 │
│           532/1000 │               0.26 │                 41 │               2.64 │       000: -0.1053 │
│           533/1000 │               0.26 │                 62 │               2.62 │        000: 0.6216 │
│           534/1000 │               0.27 │                 33 │               2.68 │       000: -0.3878 │
│           535/1000 │               0.27 │                137 │               2.72 │        000: 3.0227 │
│           536/1000 │               0.27 │                 88 │               2.74 │        000: 1.6513 │
│           537/1000 │               0.26 │                 74 │               2.65 │        000: 0.7508 │
│           538/1000 │               0.27 │                 91 │               2.74 │        000: 1.7088 │
│           539/1000 │               0.27 │                 48 │               2.67 │       000: -0.8738 │
│           540/1000 │               0.27 │                172 │               2.71 │        000: 4.1683 │
│           541/1000 │               0.27 │                102 │               2.73 │        000: 1.9833 │
│           542/1000 │               0.28 │                 75 │               2.80 │      000: -15.9261 │
│           543/1000 │               0.26 │                 74 │               2.62 │        000: 1.1806 │
│           544/1000 │               0.28 │                 23 │               2.82 │       000: -1.2332 │
│           545/1000 │               0.26 │                 52 │               2.62 │        000: 0.5401 │
│           546/1000 │               0.27 │                 66 │               2.73 │        000: 0.3581 │
│           547/1000 │               0.27 │                101 │               2.71 │        000: 1.9661 │
│           548/1000 │               0.27 │                 93 │               2.69 │        000: 1.7925 │
│           549/1000 │               0.27 │                136 │               2.69 │        000: 3.0620 │
│           550/1000 │               0.27 │                 33 │               2.65 │       000: -0.0659 │
│           551/1000 │               0.28 │                 58 │               2.77 │      000: -10.0177 │
│           552/1000 │               0.26 │                 59 │               2.63 │        000: 0.7377 │
│           553/1000 │               0.27 │                 71 │               2.75 │        000: 1.0655 │
│           554/1000 │               0.27 │                 68 │               2.66 │        000: 1.0148 │
│           555/1000 │               0.27 │                 41 │               2.66 │        000: 0.1726 │
│           556/1000 │               0.27 │                 30 │               2.73 │       000: -0.8298 │
│           557/1000 │               0.27 │                103 │               2.67 │        000: 2.0330 │
│           558/1000 │               0.27 │                 75 │               2.74 │        000: 1.2417 │
│           559/1000 │               0.27 │                 49 │               2.68 │        000: 0.3470 │
│           560/1000 │               0.27 │                110 │               2.71 │        000: 2.2937 │
│           561/1000 │               0.27 │                 33 │               2.65 │       000: -0.0791 │
│           562/1000 │               0.24 │                 22 │               2.41 │       000: -0.4425 │
│           563/1000 │               0.28 │                 68 │               2.79 │        000: 0.5385 │
│           564/1000 │               0.27 │                 85 │               2.71 │        000: 1.4564 │
│           565/1000 │               0.27 │                 45 │               2.71 │       000: -4.2465 │
│           566/1000 │               0.26 │                 31 │               2.57 │       000: -1.0260 │
│           567/1000 │               0.27 │                 50 │               2.69 │        000: 0.4538 │
│           568/1000 │               0.27 │                 74 │               2.73 │        000: 0.7523 │
│           569/1000 │               0.26 │                 74 │               2.61 │        000: 1.1924 │
│           570/1000 │               0.27 │                 69 │               2.71 │        000: 0.7146 │
│           571/1000 │               0.27 │                117 │               2.70 │        000: 1.6209 │
│           572/1000 │               0.27 │                 30 │               2.74 │       000: -1.5966 │
│           573/1000 │               0.27 │                147 │               2.74 │        000: 2.9304 │
│           574/1000 │               0.27 │                 80 │               2.70 │        000: 0.0343 │
│           575/1000 │               0.27 │                 38 │               2.70 │        000: 0.0899 │
│           576/1000 │               0.25 │                 27 │               2.48 │       000: -0.2295 │
│           577/1000 │               0.27 │                154 │               2.73 │        000: 2.8100 │
│           578/1000 │               0.27 │                134 │               2.73 │        000: 3.0111 │
│           579/1000 │               0.27 │                198 │               2.71 │        000: 4.9321 │
│           580/1000 │               0.27 │                 86 │               2.72 │        000: 1.5451 │
│           581/1000 │               0.27 │                 41 │               2.66 │        000: 0.1676 │
│           582/1000 │               0.27 │                 80 │               2.67 │        000: 1.3748 │
│           583/1000 │               0.28 │                188 │               2.75 │        000: 3.4760 │
│           584/1000 │               0.27 │                 63 │               2.66 │       000: -0.1300 │
│           585/1000 │               0.27 │                 93 │               2.71 │        000: 1.7073 │
│           586/1000 │               0.27 │                192 │               2.72 │        000: 4.7200 │
│           587/1000 │               0.28 │                218 │               2.75 │        000: 1.2337 │
│           588/1000 │               0.27 │                 81 │               2.72 │        000: 0.7059 │
│           589/1000 │               0.25 │                 24 │               2.50 │       000: -0.3284 │
│           590/1000 │               0.27 │                 69 │               2.69 │        000: 1.0265 │
│           591/1000 │               0.27 │                110 │               2.72 │        000: 2.3012 │
│           592/1000 │               0.27 │                 30 │               2.68 │       000: -0.1474 │
│           593/1000 │               0.27 │                136 │               2.70 │        000: 1.9199 │
│           594/1000 │               0.27 │                 88 │               2.67 │        000: 1.6190 │
│           595/1000 │               0.27 │                 38 │               2.67 │        000: 0.0845 │
│           596/1000 │               0.27 │                178 │               2.74 │        000: 4.3178 │
│           597/1000 │               0.27 │                 45 │               2.68 │        000: 0.3040 │
│           598/1000 │               0.27 │                 30 │               2.65 │       000: -0.1369 │
│           599/1000 │               0.27 │                 49 │               2.68 │        000: 0.3479 │
│           600/1000 │               0.26 │                 59 │               2.61 │        000: 0.7263 │
│           601/1000 │               0.27 │                 77 │               2.66 │        000: 1.2843 │
│           602/1000 │               0.27 │                110 │               2.73 │        000: 2.2126 │
│           603/1000 │               0.26 │                 47 │               2.64 │       000: -5.9767 │
│           604/1000 │               0.27 │                 90 │               2.73 │        000: 1.5420 │
│           605/1000 │               0.27 │                 70 │               2.72 │        000: 1.0691 │
│           606/1000 │               0.26 │                 55 │               2.60 │        000: 0.6344 │
│           607/1000 │               0.27 │                 46 │               2.74 │       000: -0.7788 │
│           608/1000 │               0.27 │                 57 │               2.67 │        000: 0.6733 │
│           609/1000 │               0.27 │                 62 │               2.74 │      000: -11.6995 │
│           610/1000 │               0.27 │                 61 │               2.66 │        000: 0.6309 │
│           611/1000 │               0.27 │                 72 │               2.68 │        000: 0.2483 │
│           612/1000 │               0.26 │                 53 │               2.65 │        000: 0.1152 │
│           613/1000 │               0.26 │                 18 │               2.65 │       000: -0.9027 │
│           614/1000 │               0.27 │                 62 │               2.72 │        000: 0.8298 │
│           615/1000 │               0.25 │                 20 │               2.53 │       000: -1.0091 │
│           616/1000 │               0.27 │                129 │               2.72 │        000: 2.5294 │
│           617/1000 │               0.26 │                 68 │               2.65 │        000: 1.0082 │
│           618/1000 │               0.27 │                 53 │               2.67 │       000: -1.6183 │
│           619/1000 │               0.27 │                140 │               2.69 │        000: 3.1365 │
│           620/1000 │               0.28 │                 52 │               2.79 │       000: -0.0690 │
│           621/1000 │               0.26 │                 55 │               2.63 │       000: -0.4561 │
│           622/1000 │               0.27 │                 74 │               2.71 │        000: 1.1539 │
│           623/1000 │               0.27 │                 73 │               2.70 │        000: 0.5786 │
│           624/1000 │               0.26 │                 41 │               2.62 │        000: 0.1772 │
│           625/1000 │               0.27 │                 93 │               2.69 │        000: 1.8043 │
│           626/1000 │               0.27 │                113 │               2.70 │        000: 2.2890 │
│           627/1000 │               0.27 │                 64 │               2.66 │        000: 0.5186 │
│           628/1000 │               0.26 │                 29 │               2.65 │       000: -1.2719 │
│           629/1000 │               0.27 │                 74 │               2.70 │        000: 1.1345 │
│           630/1000 │               0.26 │                 47 │               2.58 │       000: -0.0120 │
│           631/1000 │               0.27 │                 45 │               2.67 │        000: 0.0937 │
│           632/1000 │               0.28 │                 31 │               2.76 │       000: -0.6600 │
│           633/1000 │               0.24 │                 19 │               2.37 │       000: -0.4758 │
│           634/1000 │               0.28 │                 32 │               2.78 │       000: -2.0042 │
│           635/1000 │               0.27 │                 81 │               2.70 │        000: 0.9159 │
│           636/1000 │               0.27 │                164 │               2.70 │        000: 3.8841 │
│           637/1000 │               0.26 │                 47 │               2.59 │        000: 0.3027 │
│           638/1000 │               0.27 │                 68 │               2.75 │        000: 1.0001 │
│           639/1000 │               0.27 │                149 │               2.71 │        000: 3.4523 │
│           640/1000 │               0.27 │                 81 │               2.68 │        000: 1.4132 │
│           641/1000 │               0.26 │                 28 │               2.55 │       000: -0.2553 │
│           642/1000 │               0.27 │                157 │               2.71 │        000: 3.7051 │
│           643/1000 │               0.27 │                 74 │               2.68 │        000: 0.8619 │
│           644/1000 │               0.26 │                 37 │               2.63 │        000: 0.0659 │
│           645/1000 │               0.27 │                 65 │               2.71 │      000: -12.9321 │
│           646/1000 │               0.27 │                100 │               2.68 │        000: 1.9862 │
│           647/1000 │               0.26 │                 55 │               2.60 │        000: 0.5758 │
│           648/1000 │               0.27 │                 26 │               2.70 │       000: -1.5427 │
│           649/1000 │               0.27 │                192 │               2.71 │        000: 4.7625 │
│           650/1000 │               0.28 │                 32 │               2.80 │       000: -0.4878 │
│           651/1000 │               0.25 │                 31 │               2.54 │       000: -2.2384 │
│           652/1000 │               0.27 │                 38 │               2.74 │       000: -3.6123 │
│           653/1000 │               0.26 │                 79 │               2.65 │        000: 1.2875 │
│           654/1000 │               0.27 │                 71 │               2.72 │        000: 1.0913 │
│           655/1000 │               0.26 │                 63 │               2.62 │        000: 0.7475 │
│           656/1000 │               0.27 │                174 │               2.73 │        000: 4.1643 │
│           657/1000 │               0.27 │                166 │               2.73 │        000: 3.7969 │
│           658/1000 │               0.27 │                113 │               2.68 │        000: 2.3529 │
│           659/1000 │               0.26 │                 40 │               2.61 │       000: -0.3695 │
│           660/1000 │               0.27 │                143 │               2.73 │        000: 3.3697 │
│           661/1000 │               0.27 │                 57 │               2.65 │        000: 0.7402 │
│           662/1000 │               0.26 │                 76 │               2.60 │        000: 1.3032 │
│           663/1000 │               0.27 │               3756 │               2.71 │      000: 117.8306 │
│           664/1000 │               0.27 │                 84 │               2.65 │        000: 1.4901 │
│           665/1000 │               0.27 │                237 │               2.71 │        000: 5.6555 │
│           666/1000 │               0.27 │                 23 │               2.71 │       000: -1.2305 │
│           667/1000 │               0.27 │                226 │               2.71 │        000: 4.8310 │
│           668/1000 │               0.25 │                 38 │               2.49 │        000: 0.0806 │
│           669/1000 │               0.27 │                129 │               2.70 │        000: 2.8558 │
│           670/1000 │               0.27 │                163 │               2.73 │        000: 3.6234 │
│           671/1000 │               0.27 │                140 │               2.69 │        000: 2.9489 │
│           672/1000 │               0.27 │                166 │               2.68 │        000: 4.1109 │
│           673/1000 │               0.26 │                 26 │               2.60 │       000: -0.2653 │
│           674/1000 │               0.27 │                 41 │               2.67 │       000: -2.2518 │
│           675/1000 │               0.26 │                 63 │               2.60 │        000: 0.8595 │
│           676/1000 │               0.27 │                150 │               2.72 │       000: -0.4979 │
│           677/1000 │               0.25 │                 36 │               2.54 │        000: 0.0344 │
│           678/1000 │               0.27 │                 15 │               2.70 │       000: -0.8016 │
│           679/1000 │               0.26 │                 99 │               2.64 │        000: 1.5890 │
│           680/1000 │               0.27 │                100 │               2.67 │        000: 1.8451 │
│           681/1000 │               0.26 │                 37 │               2.62 │       000: -0.0996 │
│           682/1000 │               0.27 │                212 │               2.73 │        000: 4.9930 │
│           683/1000 │               0.26 │                 87 │               2.63 │        000: 1.2360 │
│           684/1000 │               0.27 │                141 │               2.70 │        000: 3.1925 │
│           685/1000 │               0.27 │                209 │               2.71 │        000: 5.2147 │
│           686/1000 │               0.27 │                 47 │               2.74 │       000: -0.9249 │
│           687/1000 │               0.26 │                 80 │               2.64 │        000: 0.9502 │
│           688/1000 │               0.25 │                 31 │               2.52 │       000: -0.3937 │
│           689/1000 │               0.26 │                 37 │               2.59 │        000: 0.0556 │
│           690/1000 │               0.28 │                 76 │               2.79 │       000: -3.6290 │
│           691/1000 │               0.27 │                451 │               2.71 │       000: 12.5714 │
│           692/1000 │               0.26 │                 28 │               2.57 │       000: -1.8139 │
│           693/1000 │               0.27 │                 33 │               2.66 │       000: -2.5645 │
│           694/1000 │               0.27 │                186 │               2.73 │        000: 4.7627 │
│           695/1000 │               0.27 │                264 │               2.72 │        000: 6.7099 │
│           696/1000 │               0.27 │                 82 │               2.71 │        000: 1.4547 │
│           697/1000 │               0.27 │                 35 │               2.74 │       000: -1.4615 │
│           698/1000 │               0.27 │                101 │               2.70 │        000: 1.4652 │
│           699/1000 │               0.26 │                 79 │               2.65 │        000: 1.0087 │
│           700/1000 │               0.27 │                280 │               2.70 │        000: 7.4162 │
│           701/1000 │               0.27 │                 42 │               2.73 │       000: -4.5847 │
│           702/1000 │               0.26 │                 56 │               2.64 │        000: 0.1164 │
│           703/1000 │               0.27 │                 43 │               2.71 │        000: 0.2245 │
│           704/1000 │               0.26 │                 41 │               2.59 │        000: 0.2061 │
│           705/1000 │               0.27 │                 80 │               2.68 │       000: -1.5748 │
│           706/1000 │               0.27 │                196 │               2.70 │        000: 4.4423 │
│           707/1000 │               0.27 │                168 │               2.74 │        000: 3.9984 │
│           708/1000 │               0.25 │                 39 │               2.51 │        000: 0.1202 │
│           709/1000 │               0.27 │                191 │               2.73 │        000: 3.6790 │
│           710/1000 │               0.26 │                 86 │               2.61 │        000: 1.5450 │
│           711/1000 │               0.27 │                157 │               2.71 │        000: 2.8341 │
│           712/1000 │               0.27 │                127 │               2.73 │        000: 2.5442 │
│           713/1000 │               0.27 │                100 │               2.66 │        000: 1.9027 │
│           714/1000 │               0.27 │                 30 │               2.70 │       000: -2.0841 │
│           715/1000 │               0.25 │                 32 │               2.54 │       000: -0.0773 │
│           716/1000 │               0.27 │                 93 │               2.69 │        000: 1.7662 │
│           717/1000 │               0.27 │                 75 │               2.73 │        000: 1.1790 │
│           718/1000 │               0.26 │                 29 │               2.56 │       000: -0.1711 │
│           719/1000 │               0.27 │                124 │               2.68 │        000: 2.6769 │
│           720/1000 │               0.26 │                143 │               2.64 │        000: 3.3345 │
│           721/1000 │               0.27 │                111 │               2.73 │        000: 2.2718 │
│           722/1000 │               0.27 │                 37 │               2.65 │       000: -3.4253 │
│           723/1000 │               0.27 │                102 │               2.70 │        000: 1.7445 │
│           724/1000 │               0.27 │                 61 │               2.67 │        000: 0.4912 │
│           725/1000 │               0.27 │                152 │               2.69 │        000: 2.6244 │
│           726/1000 │               0.27 │                100 │               2.65 │        000: 1.9904 │
│           727/1000 │               0.27 │                 42 │               2.72 │       000: -4.6439 │
│           728/1000 │               0.27 │                 82 │               2.71 │        000: 1.2783 │
│           729/1000 │               0.25 │                 38 │               2.47 │        000: 0.0912 │
│           730/1000 │               0.28 │                 60 │               2.76 │       000: -0.4143 │
│           731/1000 │               0.26 │                 76 │               2.62 │        000: 0.3939 │
│           732/1000 │               0.26 │                 39 │               2.57 │       000: -3.7939 │
│           733/1000 │               0.27 │                 99 │               2.73 │        000: 1.9363 │
│           734/1000 │               0.27 │                 69 │               2.69 │       000: -0.5917 │
│           735/1000 │               0.26 │                 71 │               2.57 │        000: 0.9317 │
│           736/1000 │               0.27 │                 71 │               2.70 │        000: 1.1003 │
│           737/1000 │               0.27 │               1674 │               2.71 │       000: 51.3072 │
│           738/1000 │               0.26 │                102 │               2.64 │        000: 1.9710 │
│           739/1000 │               0.26 │                 29 │               2.58 │       000: -0.2874 │
│           740/1000 │               0.27 │                190 │               2.72 │        000: 2.0564 │
│           741/1000 │               0.27 │                 59 │               2.72 │        000: 0.5530 │
│           742/1000 │               0.26 │                 95 │               2.64 │        000: 1.5220 │
│           743/1000 │               0.25 │                 36 │               2.53 │        000: 0.0253 │
│           744/1000 │               0.27 │                176 │               2.73 │        000: 3.7571 │
│           745/1000 │               0.26 │                 92 │               2.65 │        000: 1.7681 │
│           746/1000 │               0.27 │                131 │               2.66 │        000: 2.6391 │
│           747/1000 │               0.27 │                127 │               2.72 │        000: 2.7584 │
│           748/1000 │               0.26 │                 46 │               2.65 │        000: 0.3318 │
│           749/1000 │               0.26 │                 55 │               2.58 │        000: 0.6215 │
│           750/1000 │               0.26 │                 68 │               2.59 │        000: 0.7204 │
