Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
│            84/1000 │               0.29 │                 68 │               2.86 │        000: 0.8631 │
│            85/1000 │               0.27 │                 79 │               2.72 │        000: 1.3971 │
│            86/1000 │               0.28 │                 61 │               2.80 │       000: -0.0559 │
│            87/1000 │               0.27 │                 52 │               2.74 │        000: 0.5416 │
│            88/1000 │               0.29 │                 52 │               2.91 │        000: 0.4582 │
│            89/1000 │               0.27 │                 50 │               2.66 │        000: 0.4494 │
│            90/1000 │               0.28 │                 96 │               2.83 │        000: 1.7875 │
│            91/1000 │               0.29 │                 13 │               2.86 │       000: -0.6400 │
│            92/1000 │               0.28 │                109 │               2.77 │        000: 2.2411 │
│            93/1000 │               0.28 │                 57 │               2.76 │        000: 0.6727 │
│            94/1000 │               0.27 │                118 │               2.72 │        000: 1.7683 │
│            95/1000 │               0.28 │                174 │               2.76 │        000: 3.3817 │
│            96/1000 │               0.27 │                 64 │               2.74 │        000: 0.8870 │
│            97/1000 │               0.29 │                 38 │               2.93 │       000: -3.6793 │
│            98/1000 │               0.29 │                 30 │               2.89 │       000: -0.1310 │
│            99/1000 │               0.28 │                 52 │               2.76 │        000: 0.5191 │
│           100/1000 │               0.28 │                 16 │               2.78 │       000: -0.8279 │
│           101/1000 │               0.30 │                 31 │               2.98 │       000: -1.1934 │
│           102/1000 │               0.28 │                 37 │               2.77 │       000: -0.3052 │
│           103/1000 │               0.27 │                 12 │               2.70 │       000: -0.6764 │
│           104/1000 │               0.28 │                 48 │               2.76 │        000: 0.3902 │
│           105/1000 │               0.28 │                 75 │               2.80 │        000: 0.8779 │
│           106/1000 │               0.27 │                107 │               2.73 │        000: 2.1988 │
│           107/1000 │               0.28 │                 62 │               2.82 │        000: 0.4723 │
│           108/1000 │               0.28 │                 61 │               2.77 │        000: 0.8000 │
│           109/1000 │               0.28 │                123 │               2.79 │        000: 2.5744 │
│           110/1000 │               0.28 │                205 │               2.75 │        000: 3.2762 │
│           111/1000 │               0.27 │                195 │               2.74 │        000: 4.7161 │
│           112/1000 │               0.28 │                166 │               2.77 │        000: 3.3338 │
│           113/1000 │               0.28 │                 78 │               2.79 │        000: 1.3485 │
│           114/1000 │               0.28 │                 49 │               2.78 │        000: 0.4511 │
│           115/1000 │               0.27 │                 54 │               2.67 │        000: 0.6016 │
│           116/1000 │               0.28 │                 49 │               2.81 │        000: 0.2264 │
│           117/1000 │               0.29 │                 42 │               2.90 │       000: -4.3676 │
│           118/1000 │               0.28 │                 67 │               2.83 │        000: 0.9637 │
│           119/1000 │               0.27 │                111 │               2.73 │        000: 2.3197 │
