         72185222 function calls (70457580 primitive calls) in 50.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    64067    0.072    0.000    0.678    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
       70    0.002    0.000    0.529    0.008 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
  1156920    0.489    0.000    0.489    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    45871    0.049    0.000    0.379    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:105(follow_road)
  1155510    0.238    0.000    0.358    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
    46410    0.027    0.000    0.355    0.000 <__array_function__ internals>:2(argmin)
  2690306    0.336    0.000    0.336    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:161(width_at)
    45871    0.053    0.000    0.312    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:92(after_end)
       10    0.000    0.000    0.306    0.031 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:361(reset)
       10    0.000    0.000    0.306    0.031 /home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:36(reset)
       10    0.000    0.000    0.305    0.031 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:175(reset)
    46410    0.032    0.000    0.297    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1200(argmin)
      280    0.002    0.000    0.265    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7600(clip)
  2391488    0.261    0.000    0.261    0.000 {built-in method builtins.issubclass}
   548804    0.183    0.000    0.251    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:100(_clip_dep_is_byte_swapped)
      280    0.005    0.000    0.251    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7550(_clip_with_scalar)
      560    0.001    0.000    0.226    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9147(where)
      560    0.008    0.000    0.224    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9001(_where)
     1338    0.047    0.000    0.203    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
      770    0.004    0.000    0.190    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:2987(__getitem__)
      400    0.002    0.000    0.182    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:15(lmap)
     1120    0.002    0.000    0.180    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
   231511    0.178    0.000    0.178    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:39(wrap_to_pi)
     1120    0.003    0.000    0.175    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:4992(_arith_method)
     4480    0.015    0.000    0.171    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:238(__init__)
       10    0.000    0.000    0.163    0.016 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/highway_env.py:53(_reset)
      140    0.001    0.000    0.162    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:1724(from_records)
       10    0.001    0.000    0.161    0.016 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/highway_env.py:62(_create_vehicles)
      510    0.006    0.000    0.159    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:60(create_random)
   437024    0.158    0.000    0.158    0.000 {built-in method builtins.max}
  1155510    0.150    0.000    0.150    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2358(_norm_dispatcher)
      960    0.001    0.000    0.150    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:220(act)
      960    0.004    0.000    0.147    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:75(act)
     2676    0.039    0.000    0.116    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:79(polygon)
   718533    0.114    0.000    0.115    0.000 {built-in method builtins.getattr}
     1120    0.003    0.000    0.111    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:2734(_construct_result)
